Year	Author	Book	Citation
2000	Tomie dePaola	26 Fairmount Avenue	Honor
1934	Wanda Gág	ABC Bunny	Honor
1977	William Steig	Abel's Island	Honor
1951	Clara Ingram Judson	Abraham Lincoln, Friend of the People	Honor
1945	Genevieve Foster	Abraham Lincoln's World	Honor
2003	Ann M. Martin	A Corner of the Universe	Honor
1965	Irene Hunt	Across Five Aprils	Honor
1943	Elizabeth Gray Vining	Adam of the Road	Winner
1930	Jeanette Eaton	A Daughter of the Seine: The Life of Madame Roland	Honor
1987	Cynthia Rylant	A Fine White Dust	Honor
1990	Janet Taylor Lisle	Afternoon of the Elves	Honor
1988	Norma Fox Mazer	After the Rain	Honor
2009	Jacqueline Woodson	After Tupac & D Foster	Honor
1980	Joan Blos	A Gathering of Days: A New England Girl's Journal	Winner
1997	Nancy Farmer	A Girl Named Disaster	Honor
2005	Gennifer Choldenko	Al Capone Does My Shirts	Honor
1954	Claire Huchet Bishop	All Alone	Honor
1936	Armstrong Sperry	All Sail Set: A Romance of the Flying Cloud	Honor
1959	Meindert DeJong	Along Came A Dog	Honor
1999	Richard Peck	A Long Way from Chicago	Honor
1960	Gerald W. Johnson	America Is Born: A History for Peter	Honor
1961	Gerald W. Johnson	America Moves Forward: A History for Peter	Honor
1952	Elizabeth Baity	Americans Before Columbus	Honor
1951	Elizabeth Yates	Amos Fortune, Free Man	Winner
2004	Jim Murphy	An American Plague: The True and Terrifying Story of the Yellow Fever Epidemic of 1793	Honor
1954	Joseph Krumgold	...And Now Miguel	Winner
1972	Miska Miles	Annie and the Old One	Honor
1978	Jamake Highwater	Anpao: An American Indian Odyssey	Honor
1934	Ann Kyle	Apprentice of Florence	Honor
1981	Madeleine L'Engle	A Ring of Endless Light	Honor
2002	Linda Sue Park	A Single Shard	Winner
1984	Cynthia Voigt	A Solitary Blue	Honor
1977	Nancy Bond	A String in the Harp	Honor
1937	Constance Rourke	Audubon	Honor
1982	Nancy Willard	A Visit to William Blake's Inn	Winner
1963	Madeleine L'Engle	A Wrinkle in Time	Winner
2001	Richard Peck	A Year Down Yonder	Winner
1955	James Ullman	Banner in the Sky	Honor
2001	Kate DiCamillo	Because of Winn-Dixie	Honor
1997	Ruth White	Belle Prater's Boy	Honor
1962	Mary Stolz	Belling The Tiger	Honor
1951	Mabel Leigh Hunt	Better Known as Johnny Appleseed	Honor
1946	Christine Weston	Bhimsa, the Dancing Bear	Honor
1947	Mary & Conrad Buff	Big Tree	Honor
1953	Genevieve Foster	Birthdays of Freedom, Vol. 1	Honor
1957	Marguerite de Angeli	Black Fox of Lorne	Honor
1941	Doris Gates	Blue Willow	Honor
2013	Steve Sheinkin	Bomb: The Race to Build—and Steal—the World’s Most Dangerous Weapon	Honor
1932	Eunice Tietjens	Boy of the South Seas	Honor
1940	Stephen W. Meader	Boy with a Pack	Honor
2012	Eugene Yelchin	Breaking Stalin's Nose	Honor
1978	Katherine Paterson	Bridge to Terabithia	Winner
1938	Mabel Robinson	Bright Island	Honor
2000	Christopher Paul Curtis	Bud, Not Buddy	Winner
1940	Laura Ingalls Wilder	By the Shores of Silver Lake	Honor
1936	Carol Ryrie Brink	Caddie Woodlawn	Winner
1932	Rachel Field	Calico Bush	Honor
1941	Armstrong Sperry	Call It Courage	Winner
1956	Jean Lee Latham	Carry On, Mr. Bowditch	Winner
2002	Marilyn Nelson	Carver: A Life In Poems	Honor
1995	Karen Cushman	Catherine, Called Birdy	Honor
1922	Bernard Marshall	Cedric the Forester	Honor
1953	E. B. White	Charlotte's Web	Honor
1933	Nora Burglon	Children of the Soil: A Story of Scandinavia	Honor
1959	Francis Kalnay	Chucaro: Wild Pony of the Pampa	Honor
2010	Phillip Hoose	Claudette Colvin: Twice Towards Justice	Honor
1929	Cornelia Meigs	Clearing Weather	Honor
1986	Rhoda Blumberg	Commodore Perry In the Land of the Shogun	Honor
1994	Jane Leslie Conly	Crazy Lady	Honor
2003	Avi	Crispin: The Cross of Lead	Winner
2006	Lynne Rae Perkins	Criss Cross	Winner
1940	James Daugherty	Daniel Boone	Winner
2011	Joyce Sidman	Dark Emperor and Other Poems of the Night	Honor
1949	Louise Rankin	Daughter of the Mountains	Honor
1935	Constance Rourke	Davy Crockett	Honor
1935	Hilda van Stockum	Day On Skates: The Story of a Dutch Picnic	Honor
2012	Jack Gantos	Dead End in Norvelt	Winner
1984	Beverly Cleary	Dear Mr. Henshaw	Winner
1983	Cynthia Voigt	Dicey's Song	Winner
1935	Monica Shannon	Dobry	Winner
1983	William Steig	Doctor De Soto	Honor
1986	Gary Paulsen	Dogsong	Honor
1928	Caroline Snedeker	Downright Dencey	Honor
1942	Eva Roe Gaggin	Down Ryton Water	Honor
1994	Laurence Yep	Dragon's Gate	Honor
1976	Laurence Yep	Dragonwings	Honor
1994	Russell Freedman	Eleanor Roosevelt: A Life of Discovery	Honor
2008	Christopher Paul Curtis	Elijah of Buxton	Honor
1998	Gail Carson Levine	Ella Enchanted	Honor
1971	Sylvia Engdahl	Enchantress From the Stars	Honor
2002	Polly Horvath	Everything on a Waffle	Honor
2008	Jacqueline Woodson	Feathers	Honor
